Text,Section,Publication,Title,Date
"s. is finally starting to look real. while the brand's reintroduction has been delayed many times  in recent years, fiat chrysler automobiles on wednesday pulled the wraps off of the alfa romeo stelvio -- its first suv and the second major launch for the stylish and sporty italian performance brand. despite its delayed american rebirth, alfa romeo isn't holding back on modesty. with the 2018 stelvio, alfa romeo is brazenly setting the bar high  with a host of promises that will continue to stoke anticipation among alfisti, as the brand's enthusiasts are known. according to alfa romeo, the stelvio will deliver ""race-inspired performance, real-world driving confidence, state-of-the-art technologies, seductive italian style and an exhilarating driving experience to the premium midsize suv segment."" the stelvio joins the alfa romeo giulia, which should begin reaching u.s. dealerships this month, and the 4c roadster that has been on sale for just over two years. the stelvio will give the brand its first suv in history. when it arrives in the u.s. next year, the stelvio will compete in the hottest luxury segment against vehicles such as the audi q7, bmw x5, infiniti qx60, land rover range rover, lexus rx 350, mercedes-benz gle class, porsche cayenne and volvo xc90. it also may compete with the maserati levante, a midsize suv from its sister brand that went on sale earlier this year, but will likely be priced lower. ""the all-new stelvio, named after one of the greatest driving roads in the world -- the stelvio pass in the italian alps -- sets a new benchmark for the segment,"" said reid bigland, head of alfa romeo. ""stelvio is uniquely engineered to challenge two-door sports cars on the track without sacrificing any of the characteristics you would expect from a premium suv."" the stelvio and stelvio ti models feature an all-new, all-aluminum, 2-liter, direct-injection turbo engine that delivers 280 horsepower, allowing it to achieve a top speed of 144 miles per hour. the stelvio quadrifoglio -- the top-of-the-line variant of the suv -- is equipped with a 2-liter, direct-injection turbo engine with an 8-speed automatic transmission that generates 505 horsepower, powering it from 0-60 mph in 3.9 seconds. top speed is 177 miles per hour. the quadrifoglio comes with performance features that include an ultra-lightweight carbon fiber shell, sparco racing seats that provide maximum lateral support during extreme cornering and high-performance brembo carbon-ceramic material brakes. alfa romeo is promising that performance will be assisted by a unique chassis control system. it coordinates all of the vehicle's available active systems -- including stability control, torque vectoring differential and alfa active suspension. the performance-oriented design and characteristics are evident in the interior. the stelvio includes a formula one-inspired steering wheel. behind the steering wheel are all-aluminum column-mounted paddle shifters and a 7-inch cluster display straddled by two large white-on-black face analog gauges",MONEY; Pg. 6B,USA TODAY,Alfa Romeo lauds first SUV; Unique Stelvio 'sets a unique benchmark',11/17/16
" but the most amazing number of all might be the value of its antlers. gallatin, tenn., resident stephen tucker bagged the big buck with a massive 47-point non-typical rack nov. 7 in sumner county. he is probably in line for a huge payday. the rack itself could be worth more than $100,000, said jared steele, owner of great basin antler buyers in utah, who is among the nation's top antler buyers. ""it's hard to put an exact number on it, but to the right buyer it could be worth a hundred grand,"" said steele. ""especially if it turns out to be a world record because there are people who collect stuff like that who are millionaires."" tucker, 26, hasn't yet decided what he will do with the antlers. he stored them in a local bank and is awaiting a 60-day drying out period that must take place from the day he killed the deer with a muzzleloader for the official boone and crockett measurement to take place. racks are measured from side to side at the farthest points and inside the spread of the main stems using the official boone and crockett scoring method. the boone and crockett club, founded in 1887 and named after davey crockett and daniel boone, created the first big-game scoring system. capt. dale grandstaff, of the tennessee wildlife resources agency and an official boone and crockett scorer, measured the rack at 313-2/8 inches gross. the net gross after deductions was 3083/8 inches. a non-typical rack is asymmetrical and does not have the same number of points on each side like a typical rack. the current tennessee record buck killed by a hunter in 2000 grossed 256 points and netted 2443/8 inches. the world record killed by an iowa hunter in 2003 had 38 points and scored 3075/8 inches net. if tucker decides to allow vendors and wildlife organizations to pay him to display the rack, he probably will find that it actually increases in value. ""it's going to hold its value for sure,"" steele said. ""it would be like an investment",NEWS; Pg. 4A,USA TODAY,"Deer antlers may rack up $100,000",11/17/16
" only in this case, the pain comes from real-world practice for rewards enjoyed virtually. video game developer and san francisco-based 2k has figured out a novel way to deal with one of the biggest criticisms leveled at the industry -- that it promotes lethargy. 2k, makers of the best-selling nba 2k17 basketball game, will reward players who manage to take 10,000 steps a day, as measured by a fitbit fitness tracker. they will get some extra advantages when they play the game. suddenly, their character in the game will be doing a better job of competing against the nba's best. they will be more agile and capable of more layups and dunks. their game performance temporarily improves over the next five games they play that day as a reward for the physical exercise they accomplished. gamers will see the benefit when playing in the myplayer and mypark game modes, where users can create their own characters and pit them against nba players in a virtual career or take them online to play against other gamers' players. for fitbit, the goal of the partnership is to lure millennials to the company's line of trackers. about six months ago, the wearables company reached out to gamemaker 2k to explore a potential partnership. ""we target a wide range of consumers,"" tim rosa, senior vice president of global marketing at fitbit, said in an interview with usa today. ""but with this partnership, obviously, we're going after that core 2k gamer."" about one in four 2k players are millennials, according to alfie brody, vice president of marketing for nba 2k. brody notes that while it is a notable percentage, the company attracts players that range from high school age to those in their ""late 30s, early 40s."" ""from our perspective, it's targeting the whole base,"" brody said. ""there's an inaccurate perception ... that gamers aren't active."" ""we just want to add another incentive. to not only enjoy the game, our game, but also go out and burn some calories and participate in exercise and then be rewarded accordingly,"" brody said. to help get the message across, the companies have brought on harrison barnes, a forward with the nba's dallas mavericks. barnes, a fan of the video game series dating to his time at the university of north carolina, is a fitbit global ambassador and is encouraged by the partnership. ""the partnership was genius,"" says barnes, 24. the goal was ""just to be able to make fitness fun."" while fitbit recommends using one of its devices for more precise tracking, the free fitbit mobile app on a phone will work. available for ios or android, the app can track steps on most current iphones and android phones. players do, however, need to be playing the game on either an xbox one or playstation 4 system. the launch of the feature next week is only the first stage of fitbit and 2k's partnership. both companies are exploring offering a package of a fitness tracker and a copy of the game at best buy and target. also possible: an expansion in what activities are measured",MONEY; Pg. 3B,USA TODAY,"NBA 2K partners with Fitbit to get gamers off couch; No pain, no gain now extends to video",11/17/16
" while not every deal has been detailed, the company has put out a list of some items customers can expect to see discounted at various points between nov. 18 and black friday. among the notable are a variety of cheap tv deals: a 32-inch 720p led tv for $69.99. a 43-inch 4k ultra hd smart tv for $199. a 32-inch tcl 720p smart tv, amazon's choice, for $125. a 55-inch lg 4k smart tv for $398. other deals include a denon heos 1 speaker for $99.99 and sennheiser's hd 598 cs closed back headphones for $99.95, both roughly $100 off. as has already been seen at other retailers, amazon will be giving its own devices some hefty discounts. the echo smart speaker will be $139.99, and the portable tap bluetooth smart speaker will be $89.99. the echo dot speaker accessory will be $39.99, a $10 discount. the fire tv streaming stick will see a similar discount and drop to $29.99. various kindle ebooks and fire tablets will see discounts ranging from $20 to $30. this month, the online giant announced it would begin offering deals from nov. 1 in the build-up to the shopping holiday. early wednesday morning the company further explained what it'd be doing for the major holiday shopping weekend, providing details for its plans in the days leading up to, during and after black friday. amazon will begin offering discounts as early as nov. 18 and run until dec. 22. the company promises that new deals will be available as often as every five minutes and is advising shoppers to keep an eye on the ""turkey 5,"" or the five days of shopping starting thanksgiving thursday and running through cyber monday, for the best deals. beyond electronics, amazon will be offering up to a 60% discount on ""disney favorites"" including toys and apparel as well as up to 50% off on ""select toys from barbie, hot wheels and fisher-price."" a blu-ray gift set of season 6 of the walking dead will be $50 off and the complete series of the game of thrones books will get a 20% cut. similar to prime day and other recent sales, amazon is employing its intelligent digital assistant, alexa, to help drive purchases through special ""alexa exclusive"" deals. simply asking the digital assistant ""alexa, what are your deals?"" will reveal specials of the day. amazon is promising more than 70 deals through this method, including a brand unknown 40-inch 1080p led tv for $125 and the tp-link smart plug, which can allow you to control traditional appliances through alexa, for $17.95, or $12 off. alexa is just the latest amazon service to be deployed for the shopping holiday, though the best deals and values remain to subscribers of the company's premium prime service. in addition to giving subscribers a 30-minute head start on the company's ""lightning deals"" and free two-day shipping, amazon has expanded the service to now offering free one-day shipping on more than 1 million items in 29 cities. if you're in an area that has access to the company's prime now same-day delivery service, you'll be able to shop on ""more than a hundred"" black friday deals and have them delivered in one to two hours. amazon's black friday plans cap what is expected to be a busy season for holiday shoppers. according to the national retail federation, the average american consumer is expected to spend $935.58 during the holiday shopping season, with 56",MONEY; Pg. 3B,USA TODAY,Cheap TVs galore,11/17/16
"5 million medicare part b beneficiaries can breathe a collective sigh of relief. their monthly part b premiums will rise a relatively modest 3.9% to about $109 per month in 2017. most of the rest will see their part b premiums jump 10% to $134, up from $121.80 in 2016, according to raymond thorn, spokesman for the centers for medicare and medicaid services. while a few bucks a month may not sound like much, for many retirees, every little bit hurts. what can current and future medicare beneficiaries do? research options before turning 65. diane daniels, author of the medicare survival guide, recommends looking into your medicare plan options at least three to four months before turning 65. ""if you are still employed and on an employer's health insurance plan, compare your cost for your employer's plan against medicare plans,"" she says. ""you can participate in a credible employer health plan and not have to enroll in medicare part b when you turn 65"" without paying a late-enrollment penalty when you do sign up.  medigap -- or medicare supplement insurance, which helps pay some costs medicare doesn't -- is at least 80% of the time more cost-effective than an employer's plan. but  ""take your time and do your due diligence."" sign up for part b as soon as eligible. if you don't, in most, but not all, cases you'll have to pay a late-enrollment penalty, daniels says. plus, because you wouldn't be among those ""held harmless"" when you do enroll, you could be exposing yourself to ongoing rises in part b premiums down the road. consider whether your plan meets your needs. ""folks need to make sure their medications are covered at the best possible price and care providers are covered by the plan,"" says katy votava, president of goodcare.com. ""this means that a couple might not have the same plans, because what works well for one doesn't for the other."" get help, especially if you're subject to an income-related monthly adjustment amount. if you make more than $85,000 ($170,000 for married couples) consult a qualified medicare specialist, because the question of whether to enroll in part b has gotten more complicated. learn medicare tax strategies. ""premiums for 2017 are based on income reported on a 2015 tax return,"" says steven schwartz, president of wealth design services. ""so, the significance of any actions taken today will affect 2018 medicare premium rates and not 2017 premium rates. that ship has sailed."" pay attention to your gross income, and capital gains, in particular. ask your adviser what can be done to reduce your capital gains between now and year's end. note, too, that required minimum distributions can also trigger higher medicare premiums. and three, if you have a choice between using taxable ira funds or after-tax dollars for living expenses, consider using the after-tax dollars. robert powell is editor of retirement weekly",MONEY; Pg. 2B,USA TODAY,"Medicare Part B premiums up 3.9% for '17; Preparation now can keep you from higher costs, headaches later",11/17/16
" is this deal legitimate? are you browsing a website with solid online security? or could you even be looking at a fake app? ""card fraud is a huge business,"" said al pascual, research director and head of fraud and security for javelin strategy and research in pleasanton, calif. ""they're going to get the data any way they can get it."" criminals are going after the databases of online merchants and trying to engineer an account takeover, pascual said. the crooks don't need to steal your credit card or debit card number, he said. instead, they use information found elsewhere, maybe via a breach, to gain access to your online account with a given retailer. once they're in, crooks could get access to the credit card you had stored with the online retailer. they might order something online and pick it up in the store. criminals know many people re-use passwords, so they can hack into accounts using passwords obtained via other breaches. ""it's just a matter of the odds, at least some of them are going to hit,"" pascual said. ""they didn't have to go into the dark web and buy the card numbers."" what are some ways to steer clear of the fraudsters this holiday season? 1.watch how you celebrate the holidays via facebook or twitter. it sounds odd. but, seriously, hackers can use social media profiles to figure out passwords, according to the american bankers association. do you need to post the dog's name with his or her holiday photo? or post a family portrait that's taken in front of your house with the address right there for everyone to see? 2.don't let fake retail apps trick you. industry experts are warning of apps that impersonate well-known retailers, such as payless shoesource, torrid and dillard's. after media reports, many fake apps have been quickly taken down by apple. but experts say it's sort of like the game whack-a-mole. one fake app is taken down, another one crops up. chris mason, president, ceo and co-founder of branding brand in pittsburgh, said con artists may use apps to install malware or trick you into providing personal information, maybe when you think you're opening up a credit card account with that retailer. some clues to a fake app: does the app have any reviews? if there are no reviews, that's a red flag, mason said. are any words misspelled in the description of the app? ""they'll misspell words like sneaker, if it's supposed to be the app for the finish line,"" mason said. 3.watch your statements. go online and check your credit card activity even more frequently during the holidays, said bill hardekopf, ceo of lowcards.com. ""don't wait for your statement at the end of the month,"" hardekopf said. fraudsters can get ahold of credit card information, even if you don't shop online, so keep an eye out for possible problems. once you report the loss or theft, the federal trade commission notes that the law says you have no additional responsibility for charges you didn't make. your liability for each credit card lost or stolen is limited to $50 in the event of fraud, but a number of card issuers have zero liability policies. to avoid possible problems, you want to alert your card holder quickly once you spot trouble. if you suspect the credit card was used fraudulently, you may have to sign a statement under oath that you didn't make the purchases. 4.take care so the box arrives -- and isn't stolen. unfortunately, the holidays are filled with stories of packages snatched off porches. crooks aren't always high-tech. so it's good to know whether your friend or family member will be home or away for the holidays. is there a way to alert them that a package will be arriving? shippers and retailers often let you track your package and notify you of delivery. 5.hit the yoga mat to calm down before spinning into an online shopping frenzy. every great deal you spot online or via a text or email is not a bargain. instead, you could be looking at a phishing expedition. ""stop. think. have lunch. sleep on it,"" warned peter cassidy, general secretary for the anti-phishing working group. ""slow down in every way."" fake emails, texts and websites can lure consumers with outlandishly low prices, then install malware on your computer. or you might get hooked by a phishing attempt to obtain id information, including your credit card. some websites offer suspiciously low prices on popular goods to entice shoppers into turning over their credit card information. it's easy for a fake site to mimic a well-trusted retailer's website or app, so make sure you are shopping at a legitimate site. secure sites have an address that begins with ""https."" beware of pop-up ads that lead you to another website or ask for your personal information or account numbers. ""don't wander around dark alleys. it's dangerous, and that's where bad links lurk,"" cassidy said",MONEY; Pg. 2B,USA TODAY,"Fake apps, fraud take joy out of holiday shopping",11/17/16
" as iraqi forces, with u.s. support, close in on mosul, the toughest fighting likely will not be in the streets or door-to-door, but in sophisticated miles-long tunnel networks isil has constructed under the city. fighting in this subterranean domain presents unique tactical, operational, technological and even legal challenges, for which the u.s. military must be better prepared. this is far from the first time tunnels have been used by asymmetric and conventional adversaries, and it is unlikely to be the last. tunnel warfare was a crucial part of the vietnam war, with north vietnamese forces burrowing underground to transport supplies and launch surprise attacks. since then, tunneling has become more high tech. as former commanders of u.s. forces in iraq and south korea, we saw modern tunneling firsthand. the north koreans have dug thousands of storage facilities to evade u.s. and south korean surveillance. in the past, the north koreans have also burrowed under the demilitarized zone in an attempt to enable surprise attacks on south korean and u.s. forces stationed there. hamas and israel just how effectively tunnels can be used in combat, and how difficult they can be to defeat, became clear in the 2014 conflict between hamas and israel. our appreciation for the threat was heightened by  trips organized by the jewish institute for national security of america, in which we visited some of these tunnels and the commanders whose units fought in and around them. hamas dug numerous ""terror tunnels"" beneath gaza and under the border into israel. these were  sophisticated engineering feats, reinforced with concrete and outfitted with power and communications systems. some were used for command, control and storing large amounts of weapons and munitions. some were used to flank israeli forces, redefining the concept of the front line. still others were used in attempts to kidnap civilians. these tunnels complicated efforts to target and destroy hamas' rocket and mortar arsenals that threatened israeli civilians. they also distracted israeli commanders by substantially increasing the risk of surprise attacks. israel struggled to counter these threats. aerial reconnaissance and airstrikes were ineffective without technology to map the tunnels' many branches and exit points.  moreover, many were built directly under heavily populated areas. by complicating israel's concerted efforts to minimize collateral damage, hamas exploited civilian casualties to delegitimize israel's campaign. taking the fight to isil israel's experiences will provide crucial guidance as america supports iraqi forces in liberating mosul. isil has controlled the city for more than two years -- ample time to prepare for this battle. coalition forces have already found tunnels in many villages they have cleared on the road to mosul and elsewhere in iraq. similar to hamas, isil has also been attempting to hide behind civilians to further neutralize the coalition's ability to target the terrorists from the air. given the importance of not just defeating isil but also winning the hearts and minds of mosul's sunni majority -- convincing them they will be kept safe by iraq's shiite-led central government -- u.s. military planners almost certainly will exercise caution in using air power against suspected tunnels. that places the onus on intelligence and surveillance capabilities, whether human or technological, to find the tunnels, and it means an even bigger burden on the troops who will have to clear and destroy them. taking the fight to isil beneath mosul will not be the job of the u.s. advisers supporting iraqi troops. but this task very well could fall to american servicemembers in future possible conflicts against conventional or asymmetric opponents. two army reports in the past two years have warned that u.s. forces are unprepared to operate in the complex sprawl of modern megacities. therefore, it is critical to incorporate lessons from subterranean campaigns such as gaza and mosul into our own military planning and combat training centers. cooperating with allies facing similar threats, like israel, should be an important part in determining the best tactics, techniques and procedures now and in the future. we must also invest in new technologies to detect, defeat and destroy tunnels. our air force owns the skies, our navy, the seas. our army and marine corps must be prepared to own not just the ground, but also the tunnels beneath it",NEWS; Pg. 7A,USA TODAY,"War in the tunnels under Mosul; Our forces need to prepare for battle by air, sea, land and now beneath megacities",11/17/16
"w. bush -- neither his supporters nor his opponents seem very upset. studies show that most presidential candidates have honored most of their campaign promises. once elected, however, everyone compromises, backtracks or fudges to some extent. trump will be no exception, judging from his comments during the past week. he's said he wouldn't necessarily build a wall along every inch of the mexican border; would focus deportation efforts not on all undocumented immigrants but on those with criminal records; and try to retain some redeeming facets of obamacare. for a variety of reasons -- including his supporters' love of him, his opponents' hatred of his proposals and a general acknowledgment that trump is best taken seriously but not literally -- this president may prove more immune than most to the political cost of broken promises. john mcglennon, who teaches government at the college of william & mary, says, ""both sides are willing to give him more flexibility than a conventional candidate would be allowed."" more, certainly, than the 41st president got. bush failed to win re-election in 1992 after campaigning in 1988 on a promise -- ""read my lips: no new taxes!'' -- he later broke. possibly because few major presidential candidates have made such drastic proposals, many trump opponents are relieved he apparently won't try to do everything he said he'd do. many trump supporters say they never really expected him to do everything he said he'd do. first, some trump opponents: ""i prayed that he would have a change of heart, that he'd realize that some things he said he'd do he cannot do,"" such as vaporize the affordable care act, says angelina iles, a retired school employee who lives in pineville, la. and voted for hillary clinton. david bugh of lancaster, ohio, a pastor and small business owner, says he was afraid after trump passed 270 electoral votes. given signs of what he calls trump's ""moderation,"" he says, ""i'm a little less pessimistic now."" even a die-hard never-trumper such as democrat rich langan of ashwaubenon, wis., a retired police officer, says he's trying to keep an open mind: ""i'll give him six months."" as for the trump supporters: despite some fiery campaign rhetoric, ""once he's in office, he'll soften up on pretty much everything,"" says barry fixler, who opened his own trump headquarters in bardonia, n.y. that's fine with fixler, a jeweler. ""in his heart, trump loves people. he won't do anything to drastically affect people,"" such as non-criminal undocumented immigrants. ""he's not going to throw out children. he's just going after the criminals and isis.'' many trump voters say their man's opponents were spooked by his campaign promises because they didn't understand how he works. gene dunn is a longtime trump admirer who took his son out of school to attend trump's presidential campaign announcement at trump tower. trump's campaign promises were ""standard the art of the deal practice,"" he says, referring to trump's 1987 best seller. ""asking for the whole enchilada, but settling for what's reasonable. and all sides can claim victory."" a.d. amar, an indian immigrant and business professor who lives in warren, n.j., agrees that many of trump's promises were really opening gambits: ""that is trump's style as a negotiator. he throws the extreme negative outcome at his opponents. this brings them to the table, and then whatever they get after the negotiation is better than what trump originally threw at them."" here's how president-elect trump has been rewriting candidate trump: some elements of the affordable care act, which he'd promised to repeal and replace, are worth keeping. he cited provisions requiring coverage of pre-existing medical conditions and allowing children to remain on parents' plans until they turn 26. ""i like those very much,"" trump told the wall street journal. some undocumented immigrants are ""terrific people,"" and his priorities are 1) securing the border and 2) deporting criminals. the number of undocumented immigrants is about 11million; criminals in that group number anywhere from 800,000 to several million. some sections of the ""big beautiful wall"" he's vowed to build along the border might actually look more like fencing. if and when americans try to pin candidate trump's promises to president trump, they will have their work cut out for them, says john baick, who teaches american political history at western new england university in springfield, mass. one problem is  volume -- the ""many, many promises made on the campaign trail,"" baick says. ""there is almost certainly no candidate who has produced more verbiage, in person and in digital form, than donald trump."" another is the lack of specifics. trump, baick says, ""can claim that he has kept many simply by taking symbolic steps."" it may be enough if trump starts to build the wall, just as john f. kennedy gets credit for starting a man-on-the-moon program not scheduled for completion until after what would have been his second term. trump may already have kept his biggest, most emotional promise to supporters, mcglennon says: ""as long as they feel he'll bring an end to business as usual in washington, they'll worry about the details later on.'' but there will be a later on. mcglennon says that although there's merit to the idea that trump spoke to his supporters in ways that should not be taken literally, ""the question is how long the public will be satisfied with that",NEWS; Pg. 1A,USA TODAY,"Promises, promises, promises",11/18/16
" they have programmed themselves to believe government makes it all better. donald trump's message was anti-government! the  problem with the democratic party is the conversation. the trash talking really doesn't change anything. start talking liberty! the source of america's greatness is found in the originating document: the declaration of independence. it is important to note that it is to some degree a ""religious argument"" intended to explain why the founders were being disobedient to authority. but, christianity offends most liberals as do conversations about liberty. instead, they want to believe in more government, that they are  smarter, that ideas like social justice and income inequality will carry the day. what the rest of us hear is that we're too stupid to run our own lives, we need government to push others down so we can be equal, that if you're a minority you get special treatment and if you're not, you get shamed for being born that way! democrats, listen to yourselves and keep asking yourself what do trump voters hear when you talk? they hear condescension, they hear smugness, they hear self-righteousness, their hear you crying wolf over and over again. why should they believe you? you really want to change the country, try talking liberty ... it made america great. rocky chambers baton rouge facebook democrats need to discover why white voters abandoned them? you mean, other than ignoring and denying all of their problems and demonizing them? jennifer lapsner the democratic party made it extremely clear there was no place in the party if you were a white male. any deviation and you are a deplorable, racist and any number of insults oh, and by the way, democrats put forth a candidate whom many think is the gold standard of what is wrong with our government. brian reaume because we do have freedom and liberty, we resent those who try to restrict our freedom and limit our liberty. always, of course, in some noble pursuit of an ever-moving goal post. peter tripoli twitter we asked our followers how they thought the changing demographics would shape the future of american politics. republicans in power better start listening to the concerns of non-whites during the next four years or risk losing in 2020. @jeffostach how about 4 million syrians for the democrats? @davidph26602210 it comes down to winning over hispanics. many are good catholics but the democrats' positions and those of the church don't always align. @jameswampler1 liberals divide the nation along race and gender lines to retain power. the country is on to it, so more conservative",NEWS; Pg. 8A,USA TODAY,"Get off your high horses, Democrats, talk to us",11/18/16
" has agreed to pay about $264 million to settle corruption charges involving seeking to influence chinese  officials by giving about 100 jobs and internships to their friends and relatives, the securities and exchange commission said thursday. weekly jobless claims  fall to 43-year low the number of people seeking  unemployment benefits fell to the lowest level since 1973 last week. the labor department says applications for unemployment aid dropped 19,000 to a seasonally adjusted 235,000. higher gas prices push inflation up 0.4% in oct. the labor department said thursday its consumer price index rose 0.4%, up from a 0.3% increase in september. over the past year, consumer prices are up 1.6%. energy prices rose 3.5%, led by a 7% hike in gas prices. housing starts surge 25% housing starts rose 25% in october, a post-recession high. construction of homes and apartments rose to a seasonally adjusted annual rate of 1",MONEY; Pg. 1B,USA TODAY,JPMorgan to pay $264M in corruption settlement,11/18/16
" but the story mostly works, too, in the fashion designer's latest directorial effort, the double revenge thriller nocturnal animals (*** out of four; rated r; in theaters friday in 14 cities, including new york, los angeles, chicago, washington and miami). from the bizarre opening (featuring a plethora of naked obese women) to the film's parallel narratives conceit, there's no shortage of style, though incoherence butts in from time to time. one overarching theme is the contrasting of two very different worlds. the avant-garde landscape of l.a. art gallery owner susan morrow (amy adams) is an absurdist reality filled with wealth and a posh yet sterile lifestyle. her womanizing husband, hutton (armie hammer), is heading off to new york when she receives a mysterious manuscript from her ex-husband, edward sheffield (jake gyllenhaal), whom she hasn't spoken to in 19 years after a really nasty breakup. the book, which edward has dedicated to susan, unfolds a fictional tale-within-a-tale full of true west texas grit: tony hastings (also gyllenhaal) is driving his wife, laura (isla fisher), and teen daughter india (ellie bamber) through the boonies when they're violently run off the road by a local ruffian (aaron taylor-johnson) and two goons. tony is beaten up and left in the desert, the women are kidnapped, and enigmatic cop bobby andes (michael shannon) is on the case to help tony find justice one way or another. susan is left sleepless when she reads the book, though she doesn't get much shut-eye on the regular anyway, which explains edward's ""nocturnal animal"" nickname for her. she also revisits her own experiences with edward -- some memorable, others very regrettable -- as tony himself finds some gumption he was sorely missing. ford flits quickly between flashbacks, real time and the novel, so it's not always clear what you're watching. the director uses that confusion to his cinematic advantage: both gyllenhaal roles are a smidge too milquetoast for their own good, and in a sense, they meld into one in susan's mind. adams is as steely and cold in animals as she is thoughtful in arrival, her other movie in theaters. they don't share many scenes together, but adams and gyllenhaal play well off one another, and he's solid handling tony's tortured emotions. most notable is michael shannon's western-ready masterclass as an oddball texas detective. like sam spade if he traded in his fedora for a cowboy hat, bobby's a quirky, terse but wholly entertaining fellow who's exceedingly hard for tony -- and therefore the audience -- to read. ford, whose previous moonlighting adventure from his day job was 2009's a single man, leaves certain scenes, esoteric moments and even whole characters up for interpretation in a very modern film with a definite david lynch influence. everything is seen through susan's point of view -- what happens in the movie-within-a-movie, her remembrance of past moments with her ex -- and you get the sense she's not the most reliable narrator",LIFE; Pg. 2D,USA TODAY,Tom Ford's 'Nocturnal Animals' displays a stylish magnetism,11/18/16
" but there's never been one quite like uptown funk. the singer's throwback jam with mark ronson spent 14 consecutive weeks atop the billboard hot 100 singles chart last year, and last week, it became the 13th song in history to be certified diamond by the riaa. at one point, uptown was raking in $100,000 a week for ronson and co. through spotify streams alone -- unsurprising, given all the wedding, bar mitzvah and block party playlists it's cropped up on. it makes sense that mars would try to harness that same energy on his third studio album, 24k magic (out friday, **1/2 out of four), a sleek, chest-puffing call to the dance floor that aspires to be nothing more than a feel-good friday night soundtrack. it's a natural evolution for the grammy-winning showman, who broke big as a reggae-tinged motown crooner on his 2010 debut doo-wops & hooligans, before transitioning to bawdier, jauntier fare on 2012's unorthodox jukebox. here, mars channels '80s and '90s r&b stars prince, boyz ii men and babyface (who co-wrote album closer too good to say goodbye) with aplomb, riding a cool wave of synthesizers and drum machines as he bounces between the club and bedroom. ""if you ain't here to party, take your (expletive) back home,"" he demands on chunky, before hosting an all-out ""booty celebration"" on the unabashedly cheesy straight up & down. throughout 24k's tightly-packaged nine tracks, mars never passes up an opportunity to flaunt his wealth or ability to woo women, which he makes clear from the get-go on the album's shimmering title track. a spiritual sequel to uptown, 24k magic establishes mars as a ""dangerous man with money in my pocket"" over an indelible disco-funk beat. though that's what i like takes his hedonism to borderline obnoxious levels, he wisely scales back the braggadocio on the schmaltzy versace on the floor and calling all my lovelies. the latter is a cheeky take on a heartbreak song, as he rebukes a lover for not returning his calls. (""i got too many on my team for you to act so mean / i got alicia waiting, aisha waiting, all the 'ishas waiting on me."") 24k is mars' most polished album and a laudable step forward for his longtime producing team, the smeezingtons (consisting of him, philip lawrence and ari levine). but unlike the classic r&b he strives to emulate, it's oddly aloof. mars too often relies on clichí©d lyrics and phoned-in vocals, and he shies away from the vulnerability that endeared him to fans on ballads grenade and when i was your man",LIFE; Pg. 2D,USA TODAY,Bruno Mars makes 'Magic' on R&B jam third album,11/18/16
" ""no, has it really been four years?"" mars, 31, asks between drags of a cigarette as he hunches on a couch in atlantic records' midtown office. his grammy-winning sophomore effort unorthodox jukebox was released in december 2012, and his latest, 24k magic, is out friday,  two weeks shy of the  anniversary. whatever the time frame, ""y'all just being dramatic!"" he laughs, putting on a dramatic voice. ""it's been 44 years since bruno was seen ..."" not that he's been mia. in addition to scoring three top-5 singles off unorthodox and touring the globe on a nearly sold-out arena trek, the affable singer headlined the 2014 super bowl halftime show with the red hot chili peppers and emerged at this year's halftime show to perform a little song called uptown funk. uptown, mars' collaboration with mark ronson, has been the biggest hit of their careers so far:  it spent 14 weeks at no. 1 on the billboard hot 100 singles chart and earned a grammy award for record of the year. neither could have predicted the magnitude of the song's success when they co-wrote it in 2014. the euphoria of uptown clearly rubbed off on 24k, a nostalgia-fueled joyride that puts a glistening pop sheen on old-school r&b from the late 1980s and '90s. writing the album, mars and his producing team the smeezingtons (philip lawrence and ari levine) were inspired by artists they grew up listening to, including jimmy jam and terry lewis, babyface and teddy riley (of blackstreet and guy). mars starts the party right out of the gate on the glitzy title track, which debuted at no. 5 on the billboard hot 100 singles chart last month and has since tallied 95 million spotify streams, 124 million youtube views and 349,000 downloads, according to nielsen music. the bumptious behemoth -- with its references to ""cuban links"" and ""designer minks"" -- was recorded with extravagance that seems uncharacteristic of mars, who is mellow and meditative as he discusses the new music. ""this whole album, we be walking into the studio just wearing some fabulous (stuff), wearing pinky rings, and that kind of set the tone,"" mars says. ""to have the audacity to sing (lyrics) like, 'i'm calling all my lovelies 'cuz i can't get a hold of you,' like, who do you think you are that you can say that?"" despite his success, mars doesn't appear to have an inflated ego. for instance, after he wrote all i ask with adele off her blockbuster 25, the british diva told vogue that he will be the ""biggest artist in the world."" he sheepishly demurs, ""while she sells 30 million albums. she's a sweetheart."" as he gears up for another world tour, which lands stateside next summer, mars says he doesn't have any lofty goals for his 24k magic era. rather, ""i just want to make sure i put out the best that i could do",LIFE; Pg. 1D,USA TODAY,Bruno Mars funks it up on retro '24K Magic'; New R&B album comes four years after his smash 'Uptown Funk',11/18/16
